embedding,param_name,param_value,accuracy,f1,filename
glove,base,,0.87616,0.8732082889671554,glove_base_results.json
glove,batch_size,64.0,0.8862,0.8892780696633587,glove_bs_64_results.json
glove,batch_size,128.0,0.88424,0.8862153023511835,glove_bs_128_results.json
glove,batch_size,256.0,0.88224,0.8837099067783221,glove_bs_256_results.json
glove,batch_size,512.0,0.88032,0.8773569437612724,glove_bs_512_results.json
glove,dropout,0.0,0.85092,0.8405015620319254,glove_dropout_0.0_results.json
glove,dropout,0.2,0.86856,0.8656911632469549,glove_dropout_0.2_results.json
glove,dropout,0.3,0.86112,0.8533783783783784,glove_dropout_0.3_results.json
glove,dropout,0.7,0.88008,0.8816983663483545,glove_dropout_0.7_results.json
glove,dropout,0.8,0.87056,0.8733364646939095,glove_dropout_0.8_results.json
glove,hidden_dim,64.0,0.87196,0.8699995938756447,glove_hidden_64_results.json
glove,hidden_dim,128.0,0.87816,0.8787999363361452,glove_hidden_128_results.json
glove,hidden_dim,512.0,0.51972,0.37244551298803114,glove_hidden_512_results.json
glove,lr,5e-05,0.79032,0.7922314704716608,glove_lr_5e-5_results.json
glove,lr,0.0001,0.8054,0.8134371285040457,glove_lr_1e-4_results.json
glove,lr,0.0005,0.87428,0.8721162062090573,glove_lr_5e-4_results.json
glove,lr,0.005,0.87392,0.8749206349206349,glove_lr_5e-3_results.json
glove,lr,0.01,0.76356,0.7689119981234607,glove_lr_1e-2_results.json
glove,n_layers,1.0,0.87504,0.873501781665047,glove_layers_1_results.json
glove,n_layers,3.0,0.87452,0.8731961679938559,glove_layers_3_results.json
glove,n_layers,4.0,0.87836,0.8774432757022529,glove_layers_4_results.json
glove,unknown,,0.55032,0.2779704560051381,glove_embeddings_results.json
random,base,,0.86144,0.8673508462893467,random_base_results.json
random,batch_size,64.0,0.88412,0.8828974493714378,random_bs_64_results.json
random,batch_size,128.0,0.87284,0.8750736825559005,random_bs_128_results.json
random,batch_size,256.0,0.87744,0.8801064329316012,random_bs_256_results.json
random,batch_size,512.0,0.87792,0.8800691606413078,random_bs_512_results.json
random,dropout,0.0,0.83748,0.8424766409490947,random_dropout_0.0_results.json
random,dropout,0.2,0.84968,0.8420079038089633,random_dropout_0.2_results.json
random,dropout,0.3,0.85824,0.8612372748629601,random_dropout_0.3_results.json
random,dropout,0.7,0.85876,0.8652238635062407,random_dropout_0.7_results.json
random,dropout,0.8,0.83684,0.8479743580187097,random_dropout_0.8_results.json
random,hidden_dim,64.0,0.86352,0.8673302745159033,random_hidden_64_results.json
random,hidden_dim,128.0,0.87036,0.8732944993940341,random_hidden_128_results.json
random,hidden_dim,512.0,0.869,0.8741401175973252,random_hidden_512_results.json
random,lr,5e-05,0.636,0.6941998790241279,random_lr_5e-5_results.json
random,lr,0.0001,0.80188,0.7977954684629516,random_lr_1e-4_results.json
random,lr,0.0005,0.85572,0.8596115673529755,random_lr_5e-4_results.json
random,lr,0.005,0.87048,0.8713650087398697,random_lr_5e-3_results.json
random,lr,0.01,0.7672,0.7876842258864731,random_lr_1e-2_results.json
random,n_layers,1.0,0.80656,0.817523205795789,random_layers_1_results.json
random,n_layers,3.0,0.8658,0.8698048042221274,random_layers_3_results.json
random,unknown,,0.86424,0.8614128215598204,random_embeddings_results.json
